Energy,Variance,Alpha
1.3452765734654841,3.2859754329956132,0.15000000000000002
0.9387061333280309,1.3714668087440771,0.2
0.737955340884181,0.605494885142288,0.25
0.6348248007551409,0.3250578160259006,0.3
0.5783921485530331,0.1644283415856771,0.35
0.5390154990425242,0.07692153521240275,0.39999999999999997
0.5178990997070817,0.02979274619579636,0.44999999999999996
0.5053948233927819,0.006558361835438731,0.49999999999999994
0.5000000000000003,-1.1102230246251565e-16,0.5499999999999999
0.49995232616261115,0.0053170278797894654,0.6
0.5063948956948551,0.01871023243227571,0.65
0.5129593681413489,0.0414160333585597,0.7000000000000001
0.5240177566954165,0.06555672052174782,0.7500000000000001
0.5359189323470459,0.09989037862366484,0.8000000000000002
0.5480492242271572,0.13788987764202493,0.8500000000000002
0.567588614347746,0.16889695820402606,0.9000000000000002
0.5872445043552316,0.20417012724284594,0.9500000000000003
0.6006074140177192,0.25199613469336946,1.0000000000000002
0.6113152333192002,0.32537495999686605,1.0500000000000003
0.6342717758077504,0.36757458836211704,1.1000000000000003
