Energy,Variance,Alpha
-2.8509541943738257,0.24062427098953698,0.05
-2.872339259431455,0.1776685399890532,0.1
-2.874622048343528,0.13708749836505163,0.15000000000000002
-2.8782197944629617,0.11313861959473925,0.2
-2.8793407481818485,0.09797922089181377,0.25
-2.87474908563304,0.08938400362484877,0.3
-2.8669017862433663,0.08666954657868509,0.35
-2.865521401670389,0.08611441190272018,0.39999999999999997
-2.8608442820831717,0.08895432715707585,0.44999999999999996
-2.8586830469822173,0.09280031377562104,0.49999999999999994
-2.856323519814604,0.09844100782045295,0.5499999999999999
-2.852979526557721,0.10387811028893168,0.6
-2.844491375153187,0.11310861825583629,0.65
-2.850390482635732,0.12318796201676285,0.7000000000000001
-2.843175463652298,0.12999344955114722,0.7500000000000001
